Metadata_pert_iname	Metadata_clinical_phase	Metadata_moa	Metadata_target	Metadata_disease_area	Metadata_indication
pazopanib	Launched	KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor	CSF1R|FGF1|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|PDGFRA|PDGFRB|SH2B3	oncology	renal cell carcinoma (RCC)|soft tissue sarcoma (STS)
PD-98059	Preclinical	MEK inhibitor	AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1		
pentostatin	Launched	adenosine deaminase inhibitor|ribonucleotide reductase inhibitor	ADA	hematologic malignancy	hairy cell leukemia
PETCM	Preclinical	caspase activator	CASP3		
PF-03758309	Phase 1	p21 activated kinase inhibitor	PAK4		
PF-04217903	Phase 1	c-Met inhibitor	MET		
PF-05190457	Phase 2	growth hormone secretagogue receptor inverse agonist	GHSR		
PF-06463922	Phase 2	ALK tyrosine kinase receptor inhibitor	ALK|FES|ROS1		
PF-431396	Preclinical	focal adhesion kinase inhibitor	PTK2|PTK2B		
PF-915275	Phase 1	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1		
PFI-1	Preclinical	bromodomain inhibitor	BRD4		
PHA-793887	Phase 1	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CDK7|CDK9		
phenolphthalein	Withdrawn	indicator dye	UGT1A9		
phenylbutazone	Withdrawn	cyclooxygenase inhibitor|prostanoid receptor antagonist	PTGIS|PTGS1|PTGS2		
picrotin	Phase 2	GABA receptor antagonist	GABRA1|GABRR1|GLRA1|GLRA2|GLRA3|GLRB		
picrotoxinin	Preclinical	GABA receptor antagonist	GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B		
pidolic-acid	Launched		ADAM28|AMY1A|AMY2A|AMY2B|ANG|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2|VEGFA	dermatology	xerosis cutis
polydatin	Phase 2	ICAM1 expression inhibitor	ICAM1		
ponatinib	Launched	Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK	hematologic malignancy	chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
PP-1	Preclinical	src inhibitor	HCK|RET		
PP-121	Preclinical	protein tyrosine kinase inhibitor	ABL1|EGFR|HCK|KDR|MTOR|PDGFRA|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC|SRC		
PP-2	Preclinical	src inhibitor	ABL1|LCK|LYN|RIPK2|SRC		
prasugrel	Launched	purinergic receptor antagonist	P2RY12	cardiology	myocardial infarction|acute coronary syndrome (ACS)
procaine	Launched	HMGCR inhibitor	CHRNA2|GRIN3A|HTR3A|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|MAOA|MAOB|RYR1|RYR2|SCN10A|SLC6A3	neurology/psychiatry	anesthetic
puromycin	Preclinical	protein synthesis inhibitor	NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1		
purvalanol-a	Preclinical	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC		
pyrrolidine-dithiocarbamate	Preclinical	NFkB pathway inhibitor	HSD11B1|RELA		
quinidine	Launched	sodium channel blocker	KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4	infectious disease|cardiology	malaria|atrial fibrillation (AF)|ventricular arrhythmias
quinine	Launched	hemozoin biocrystallization inhibitor	GP9|KCNB2|KCNN4|SLC29A4	infectious disease	malaria
racecadotril	Launched	enkephalinase inhibitor	MME	gastroenterology	diarrhea
regorafenib	Launched	FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	ABL1|BRAF|DDR2|EPHA2|FGFR1|FGFR2|FLT1|FLT4|FRK|KDR|KIT|MAPK11|NTRK1|PDGFRA|PDGFRB|RAF1|RET|TEK	oncology	colorectal cancer|gastrointestinal stromal tumors (GIST)
RGB-286638	Phase 1	CDK inhibitor	CDK1|CDK2|CDK3|CDK4|CDK5|CDK6|CDK7|CDK9|FLT3|GSK3B|JAK2|MAP3K7|MAPK9		
RGFP966	Preclinical	HDAC inhibitor	HDAC3		
rifamycin	Launched	DNA directed RNA polymerase inhibitor	SLCO1A2|SLCO1B1|SLCO1B3|SLCO2B1	infectious disease	tuberculosis|leprosy
riociguat	Launched	guanylate cyclase stimulant	GUCY1A2|GUCY1A3|GUCY1B2|GUCY1B3	cardiology	hypertension
RKI-1447	Preclinical	rho associated kinase inhibitor	CDC42BPA|DMPK|LIMK1|MYLK|PAK1|PKN1|ROCK1|ROCK2		
Ro-1138452	Preclinical	prostanoid receptor antagonist	PTGIR		
Ro-20-1724	Preclinical	phosphodiesterase inhibitor	PDE3A|PDE4A|PDE4B|PDE4C|PDE4D		
romidepsin	Launched	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9	hematologic malignancy	cutaneous T-cell lymphoma (CTCL)
ruxolitinib	Launched	JAK inhibitor	JAK1|JAK2|JAK3|TYK2	hematologic malignancy|hematology	myelofibrosis|polycythemia vera
RX-821002	Preclinical	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C		
ryuvidine	Preclinical	histone lysine methyltransferase inhibitor	CDK2|CDK4		
saclofen	Preclinical	GABA receptor antagonist	GABBR1|GABBR2|KCTD12|KCTD16|KCTD8		
sacubitril	Launched	neprilysin inhibitor	MME	cardiology	congestive heart failure
salicylic-acid	Launched	cyclooxygenase inhibitor	AKR1C1|PTGS1|PTGS2	dermatology	acne vulgaris (AV)
SB-202190	Preclinical	p38 MAPK inhibitor	AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1		
SB-203580	Preclinical	p38 MAPK inhibitor	AKT1|ALOX5|CHEK1|CYP2D6|CYP3A4|GAK|GSK3B|LCK|MAPK1|MAPK10|MAPK11|MAPK12|MAPK14|MAPK8|MAPK9|PRKCA|RAF1|RIPK2|ROCK1|RPS6KB1|SGK1|SRC|TNF		
SB-505124	Preclinical	ALK tyrosine kinase receptor inhibitor	TGFBR1		
SGX523	Phase 1	hepatocyte growth factor receptor inhibitor	MET		
simvastatin	Launched	HMGCR inhibitor	HMGCR|ITGB2	endocrinology|cardiology|neurology/psychiatry	hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
SirReal-2	Preclinical	SIRT inhibitor	SIRT2		
SKLB1002	Preclinical	VEGFR inhibitor	KDR		
sodium-butyrate	Phase 2	HDAC inhibitor	BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8		
somatostatin	Launched	somatostatin receptor agonist	OPRD1|OPRM1|SSTR1|SSTR2|SSTR3|SSTR4|SSTR5	hematology	hemorrhage
sorbinil	Phase 3	aldose reductase inhibitor	AKR1B1		
sotrastaurin	Phase 2	PKC inhibitor	PRKCA|PRKCB|PRKCD|PRKCE|PRKCH|PRKCQ		
spiroxatrine	Preclinical	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR2B		
SRC-kinase-inhibitor-I	Preclinical	src inhibitor	CSK|LCK|RIPK2		
sulfasalazine	Launched	cyclooxygenase inhibitor	ACAT1|ALOX5|CHUK|IKBKB|PLA2G1B|PPARG|PTGS1|PTGS2|SLC46A1|SLC7A11|TBXAS1	gastroenterology	ulcerative colitis
sulfinpyrazone	Launched	uricosuric blocker	ABCC1|ABCC2|FPR1|SLC22A12	rheumatology	gout
SU3327	Preclinical	JNK inhibitor	MAPK8		
taladegib	Phase 2	smoothened receptor antagonist	DHH|IHH|SMO		
TC-S-7004	Preclinical	DYRK inhibitor	DYRK1A|DYRK1B		
TCN201	Preclinical	glutamate receptor antagonist	GRIN2A		
terazosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|KCNH2|KCNH6|KCNH7	urology|cardiology	benign prostatic hyperplasia (BPH)|hypertension
TFC-007	Preclinical	prostaglandin inhibitor	HPGDS		
TG-003	Preclinical	CLK inhibitor	CLK1|CLK4|DYRK1A|DYRK1B		
TG-02	Phase 1	CDK inhibitor|FLT3 inhibitor|JAK inhibitor	CDK1|CDK2|CDK7|CDK9|FLT3|JAK2		
TG-101348	Phase 3	FLT3 inhibitor|JAK inhibitor	BRD4|JAK1|JAK2|JAK3|TYK2		
thioguanine	Launched	purine antagonist	IMPDH1|IMPDH2	hematologic malignancy	acute myeloid leukemia (AML)
thiostrepton	Launched	FOXM1 inhibitor|protein synthesis inhibitor	FOXM1	obstetrics/gynecology	mastitis
torcitabine	Phase 2	DNA polymerase inhibitor	DCK|TK2		
tranilast	Launched	angiogenesis inhibitor	HPGDS|HRH1	pulmonary	asthma
trazodone	Launched	adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor	ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4	neurology/psychiatry	depression
triamterene	Launched	sodium channel blocker	SCNN1A|SCNN1B|SCNN1D|SCNN1G	endocrinology|cardiology	hypokalemia|hypertension|edema
trihexyphenidyl	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	neurology/psychiatry	parkinsonism
trometamol	Launched		AMD1|CANT1|DCN|NEIL1|VEGFA		
TUG-891	Preclinical	free fatty acid receptor agonist	FFAR4		
U-0521	Preclinical	catechol O methyltransferase inhibitor	COMT		
UNC1999	Preclinical	histone lysine methyltransferase inhibitor	EZH2		
UNC2025	Preclinical	MER tyrosine kinase inhibitor|FLT3 inhibitor	FLT3|MERTK		
vitamin-E	Phase 2/Phase 3	PKC inhibitor|LDL oxidation inhibitor	ALOX5|DGKA|NR1I2|PPP2CA|PPP2CB|PRKCA|PRKCB|SEC14L2|SEC14L3|SEC14L4		
VU591	Preclinical	potassium channel blocker	KCNJ1		
WH-4-023	Preclinical	src inhibitor	LCK|SRC		
xanomeline	Phase 3	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6|HTR7		
YC-1	Preclinical	guanylyl cyclase activator	GUCY1A2|GUCY1A3|GUCY1B3|HIF1A		
zamifenacin	Phase 3	acetylcholine receptor antagonist	CHRM3		
zaprinast	Phase 2	phosphodiesterase inhibitor	GPR35|PDE1A|PDE4D|PDE5A|PDE9A		
ZK-93423	Phase 3	benzodiazepine receptor agonist	GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2		
ZK811752	Phase 2	CC chemokine receptor antagonist	CCR1		
ZM-336372	Preclinical	RAF inhibitor	BRAF|LCK|MAPK14|RAF1		
1-EBIO	Preclinical	potassium channel activator	KCNN1|KCNN2|KCNN3|KCNN4		
1-octanol	Phase 2		GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1		
2,5-furandimethanol	Phase 2	hemoglobin modulator	HBB		
2-Oleoylglycerol	Phase 1	glucose dependent insulinotropic receptor ligand	GPR119		
4-CMTB	Preclinical	free fatty acid receptor agonist	FFAR2		
4-methylhistamine	Preclinical	histamine receptor agonist	HRH4		
7-hydroxystaurosporine	Phase 2	CDK inhibitor|CHK inhibitor|PKC inhibitor	CHEK1|MARK3|PDPK1		
